id,question,answer,points,level,category
77,What two activites could Nearly Headless Nick not partake if her were a part of the Headless Hunt?,Horseback Head-Juggling and Head Polo,100,Seventh Year,history
78,Name the school poltergeist.,Peeves,10,Second Year,history
79,"What did Harry find on Filch's desk, indicating he was a squib.",Quickspell: A Correspondance Course in Beginner's Magic,50,Sixth Year,charms
80,What did Peeves break that got Harry out of punishment for befouling the castle.,A very valuable Vanishing Cabinet,100,Seventh Year,history
81,How long has Nearly Headless Nick been dead?,500 years,20,Fourth Year,history
82,In what year did Nearly Headless Nick die?,"October 31, 1492",100,Seventh Year,history
83,"Name the Slytherin Ghost, covered in silver bloodstains.",The Bloody Baron,25,Fifth Year,history
84,What is Nearly Headless Nick's full name?,Sir Nicholas de Mimsy-Porpington,50,Sixth Year,history
85,Who was the first victom of the opening of the Chamber of Secrets?,Mrs. Norris,15,Third Year,defense
86,Name the History of Magic teacher.,Professor Binns,25,Fifth Year,history
87,Name the headmaster when Tom Riddle attended Hogwarts,Professor Dippett,100,Seventh Year,history
88,What kind of creature is Ron morbidly afraid?,Spiders,5,First Year,care
89,What is the name of the ghost who haunts the girl's third floor bathroom?,Moaning Myrtle,5,First Year,history
90,What is the name of the book in the restricted section that contains the recipe for the Polyjuice Potion?,Moste Potente Potions,50,Sixth Year,defense
91,What did Professor Lockhart offer as the reward for the best poem about his defeat of the Wagga Wagga Werewolf?,A signed copy of Magical Me,100,Seventh Year,defense
92,What is the name of the Hogwarts Librarian?,Madam Pince,50,Sixth Year,care
93,"When does the Polyjuice Potion ingredient ""fluxweed"" need to be picked?",During a full moon,50,Sixth Year,defense
94,Name the Quidditch teacher.,Madam Hooch,20,Fourth Year,history
95,Who bewitched the Bludger to attack Harry in his first Quidditch match?,Dobby,10,Second Year,charms
96,What happened when Lockhart attempted to mend Harry's broken arm?,His arm bones disappeared entirely,10,Second Year,charms
97,Name the Hogwarts nurse.,Madam Pomfrey,15,Third Year,charms
98,What did Madam Pomfrey give Harry to grow his arm bones back?,A bottle of Skele-Gro,20,Fourth Year,charms
99,"Who was the second victim of the Chamber of Secrets, who was taken to the Hospital Wing while Harry was growing his arm bones back?",Colin Creevey,20,Fourth Year,defense
100,Who were the two teachers in charge of the Dueling Club?,Professor Snape and Professor Lockhart,10,Second Year,defense
101,What is the disarming spell?,Expelliarmus,10,Second Year,charms
102,What is the Tickling Charm with witch Harry hits Malfoy?,Rictusempra,25,Fifth Year,charms
103,Who was Hermione partnered with during the Dueling Club,Millicent Bulstrode,50,Sixth Year,charms
104,What is a wizard called who can talk to snakes?,Parselmouth,20,Fourth Year,defense
105,Which Hufflepuff did Harry overhear in the library speculating that Harry was the heir of Slytherin?,Ernie MacMillian,25,Fifth Year,muggle
106,How did Justin Finch-fletchley get petrified?,Through Nearly Headless Nick,10,Second Year,muggle
107,What is the password to Dumbledore's office?,Lemon Drop,20,Fourth Year,history
108,Who does Hermione attempt to become via Polyjuice Potion?,Millicent Bulstrode,15,Third Year,defense
109,What is the password to the Slytherin common room?,pure-blood,25,Fifth Year,defense
110,Through what did Hermione get petrified?,"A small, circular mirror",15,Third Year,defense
111,"When Hagrid is being arrested, what does he tell Ron and Harry to follow?",The spiders,10,Second Year,defense
112,How did the Basilisk get around Hogwarts?,Pipes,20,Fourth Year,defense
113,How did Harry destroy Tom Riddle's diary?,He stabbed it with the fang from the Basilisk,5,First Year,defense
114,What powerful wizard did Tom Riddle become?,Lord Voldemort,5,First Year,defense
115,"What did Harry pretend to do to scare Dudley, thinking Harry was doing magic?",Turn him into a pig,50,Sixth Year,muggle
116,"How was the flying car designed to get above the clouds, undetected by Muggles",Invisibility Booster,15,Third Year,muggle
